Name,Source Title,DOI,Authors,Year,URL,Type,Source,Note
An Operations Model for the Extended Manufacturing Enterprise,2005 IEEE International Technology Management Conference (ICE),10.1109/ITMC.2005.7461278,P. Higgins; J. Eschenbächer; J. O. Strandhagen; A. Horten,2005,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7461278,Conference Paper,IEEE Xplore,EC3
Designing a reporting tool for space mission simulations for use in elementary schools,2015 Systems and Information Engineering Design Symposium,10.1109/SIEDS.2015.7116999,D. Ager; K. Davis; S. Di Savino; A. Lonkar; R. Bailey,2015,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7116999,Conference Paper,IEEE Xplore,EC3
Open Student Models of Core Competencies at the Curriculum Level: Using Learning Analytics for Student Reflection,IEEE Transactions on Emerging Topics in Computing,10.1109/TETC.2015.2501805,C. Chou; S. Tseng; W. Chih; Z. Chen; P. Chao; K. R. Lai; C. Chan; L. Yu; Y. Lin,2017,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7335629,Journal Article,IEEE Xplore,EC5
Service-Oriented Business Intelligence (SoBI) for Academic and Financial Data Integration in University,2018 International Seminar on Application for Technology of Information and Communication,10.1109/ISEMANTIC.2018.8549762,R. Somya; D. Manongga; M. A. Ineke Pakereng,2018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8549762,Conference Paper,IEEE Xplore,EC3
Tradespace analysis for multiple performance measures,2016 Winter Simulation Conference (WSC),10.1109/WSC.2016.7822340,A. D. MacCalman; S. M. Sanchez; M. L. McDonald; S. R. Goerger; A. T. Karl,2016,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7822340,Conference Paper,IEEE Xplore,EC3
SMART KPI Management System Framework,2019 IEEE 9th International Conference on System Engineering and Technology (ICSET),10.1109/ICSEngT.2019.8906478,Z. Ishak; S. L. Fong; S. C. Shin,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8906478,Conference Paper,IEEE Xplore,EC3
Motion and Movement Detection for DIY Home Security System,2019 IEEE Conference on Sustainable Utilization and Development in Engineering and Technologies (CSUDET),10.1109/CSUDET47057.2019.9214684,I. V. Paputungan; M. R. Al Fitri; U. Y. Oktiawati,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9214684,Conference Paper,IEEE Xplore,EC3
Decision support system for a SME in the restaurant sector: Development of a prototype,2017 12th Iberian Conference on Information Systems and Technologies (CISTI),10.23919/CISTI.2017.7975831,J. E. Gutiérrez Neyoy; L. Rodríguez; L. A. Castro,2017,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7975831,Conference Paper,IEEE Xplore,EC5
Predicting the Correlation between Analog Behavioral Models and SPICE Circuits for robust SoC Verification,2008 IEEE International Behavioral Modeling and Simulation Workshop,10.1109/BMAS.2008.4751254,V. Sharma; G. Lakshmanan; S. Tare; S. Dhamankar,2008,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4751254,Conference Paper,IEEE Xplore,EC3
Collaborative monitoring and analysis for simulation scientists,2010 International Symposium on Collaborative Technologies and Systems,10.1109/CTS.2010.5478506,R. Tchoua; S. Klasky; N. Podhorszki; B. Grimm; A. Khan; E. Santos; C. Silva; P. Mouallem; M. Vouk,2010,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5478506,Conference Paper,IEEE Xplore,EC5
"The NetSage Measurement Framework: Design, Development, and Discoveries",2020 IEEE/ACM Innovating the Network for Data-Intensive Science (INDIS),10.1109/INDIS51933.2020.00010,K. Turner; M. Khanal; T. Seto-Mook; A. Gonzalez; J. Leigh; A. Lake; S. S. Baveha; S. Faci; B. Tierney; D. Doyle; L. Ensman; J. M. Schopf; D. Southworth; E. Balas,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9307189,Conference Paper,IEEE Xplore,EC3
Integrating Tableau with Internet of Things Acquiring Projects,"2020 12th International Conference on Electronics, Computers and Artificial Intelligence (ECAI)",10.1109/ECAI50035.2020.9223228,V. -V. Fireteanu,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9223228,Conference Paper,IEEE Xplore,EC5
